Variable,Baseline,1Fl 1Pr 1Flz,5Fl 1Pr 1Flz,5Fl 1Pr 1.6Flz,5Fl 1Pr 2Flz,5Fl 1Pr 4Flz,5Fl 1Pr 10Flz,2Fl 1Pr 1.6Flz,2Fl 1Pr 2Flz,2Fl 1Pr 4Flz,2Fl 1Pr 10Flz,2Fl .47Pr 1Flz,5Fl .47Pr 1Flz,5Fl .47Pr 1.6Flz,5Fl .47Pr 2Flz,5Fl .47Pr 4Flz,5Fl .47Pr 10Flz,2Fl .27Pr 1Flz,5Fl .27Pr 1Flz,5Fl .27Pr 1.6Flz,5Fl .27Pr 2Flz,5Fl .27Pr 4Flz,5Fl .27Pr 10Flz,2Fl .125Pr 1Flz,5Fl .125Pr 1Flz,5Fl .125Pr 1.6Flz,5Fl .125Pr 2Flz,5Fl .125Pr 4Flz,5Fl .125Pr 10Flz,2Fl .0625Pr 1Flz,5Fl .0625Pr 1Flz,5Fl .0625Pr 1.6Flz,5Fl .0625Pr 2Flz,5Fl .0625Pr 4Flz,5Fl .0625Pr 10Flz,1Fl MixPr 1Flz,2Fl MixPr 1Flz,5Fl MixPr 1Flz,5Fl MixPr 1.6Flz,5Fl MixPr 2Flz,5Fl MixPr 4Flz,5Fl MixPr 10Flz,code
Trip Mode Ride Hail,153439,153899,155988,191760,208125,255821,292152,191742,205572,251682,292348,182810,188169,234758,256357,332945,425544,212539,216240,271488,297152,403991,553791,259984,262274,323866,351116,480109,712726,284088,290997,356284,387629,528212,801073,136613,135076,132065,170138,184056,238422,279361,62
Trip Mode Ride Hail-Transit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63
Trip Mode Ride Hail Pooled,35111,36807,32138,43948,49167,62862,72493,46953,52009,66861,74034,46474,42105,59796,66719,95880,113933,47345,43817,61598,70078,104563,133277,40136,37990,53655,62612,100176,139980,41768,38722,54801,64761,104748,157567,170105,165134,157061,207945,233923,350356,542846,64
Trip Mode Drive-Transit,1305,1277,1374,1311,1290,1136,1108,1207,1290,1211,1090,1514,1415,1436,1369,1212,1144,1500,1554,1590,1527,1513,1226,1799,1750,1756,1771,1714,1342,1839,1910,2106,1885,1784,1502,1713,1628,1693,1620,1780,1574,1271,65
Trip Mode Cable Car,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66
Trip Mode Bike-Transit,1375,1275,1519,1216,1103,584,256,1126,1139,515,200,2261,2303,2037,1917,1259,519,2868,3055,2816,2773,2079,784,4040,4020,3941,4120,2992,1311,4799,4897,4925,4868,3967,1866,3955,3704,3466,3635,3587,2816,1287,67
Trip Replan Bus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68
Trip Replan Subway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69
Trip Replan Tram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70
Trip Replan Rail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71
Trip Replan Car,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72
Trip Replan HOV3 Passenger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73
Trip Replan Bike,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74
Trip Replan HOV2 Passenger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75
Trip Replan Walk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76
Trip Replan HOV2 Driver,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77
Trip Replan HOV3 Driver,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78
Trip Replan Walk-Transit,90336,90873,89363,90371,88993,87691,82452,90672,89849,86316,81048,97409,98743,98369,95847,91363,82410,103325,104121,102896,102759,96791,87094,113388,113916,112321,112016,104478,92552,122205,119955,121617,120319,114062,98876,119491,119377,119135,118864,118115,117281,102749,79
Trip Replan Ride Hail,58959,54255,66287,59074,53984,31494,11859,50853,45199,26384,9357,84806,95161,90004,84199,55555,22069,112466,121907,121356,115536,84814,35464,159254,166084,167682,163591,131375,60997,185588,195742,201744,201025,173504,88724,66722,71161,75984,82209,81952,73209,42343,80
Trip Replan Ride Hail-Transit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81
