Variable,Baseline,1Fl 1Pr 1Flz,5Fl 1Pr 1Flz,5Fl 1Pr 1.6Flz,5Fl 1Pr 2Flz,5Fl 1Pr 4Flz,5Fl 1Pr 10Flz,2Fl 1Pr 1.6Flz,2Fl 1Pr 2Flz,2Fl 1Pr 4Flz,2Fl 1Pr 10Flz,2Fl .47Pr 1Flz,5Fl .47Pr 1Flz,5Fl .47Pr 1.6Flz,5Fl .47Pr 2Flz,5Fl .47Pr 4Flz,5Fl .47Pr 10Flz,2Fl .27Pr 1Flz,5Fl .27Pr 1Flz,5Fl .27Pr 1.6Flz,5Fl .27Pr 2Flz,5Fl .27Pr 4Flz,5Fl .27Pr 10Flz,2Fl .125Pr 1Flz,5Fl .125Pr 1Flz,5Fl .125Pr 1.6Flz,5Fl .125Pr 2Flz,5Fl .125Pr 4Flz,5Fl .125Pr 10Flz,2Fl .0625Pr 1Flz,5Fl .0625Pr 1Flz,5Fl .0625Pr 1.6Flz,5Fl .0625Pr 2Flz,5Fl .0625Pr 4Flz,5Fl .0625Pr 10Flz,1Fl MixPr 1Flz,2Fl MixPr 1Flz,5Fl MixPr 1Flz,5Fl MixPr 1.6Flz,5Fl MixPr 2Flz,5Fl MixPr 4Flz,5Fl MixPr 10Flz,code
Energy Vehicle VAR CT [GJ],0.000862118,0.000862118,0.000862118,0.000862118,0.000862118,0.000862118,0.000862118,0.000862118,0.000862118,0.000862118,0.000862118,0.000862118,0.000862118,0.000862118,0.000862118,0.000862118,0.000862118,0.000862118,0.000862118,0.000862118,0.000862118,0.000862118,0.000862118,0.000862118,0.000862118,0.000862118,0.000862118,0.000862118,0.000862118,0.000862118,0.000862118,0.000862118,0.000862118,0.000862118,0.000862118,0.000862118,0.000862118,0.000862118,0.000862118,0.000862118,0.000862118,0.000862118,3389
Energy Vehicle VAR CC [GJ],0.000702477,0.000702477,0.000702477,0.000702477,0.000702477,0.000702477,0.000702477,0.000702477,0.000702477,0.000702477,0.000702477,0.000702477,0.000702477,0.000702477,0.000702477,0.000702477,0.000702477,0.000702477,0.000702477,0.000702477,0.000702477,0.000702477,0.000702477,0.000702477,0.000702477,0.000702477,0.000702477,0.000702477,0.000702477,0.000702477,0.000702477,0.000702477,0.000702477,0.000702477,0.000702477,0.000702477,0.000702477,0.000702477,0.000702477,0.000702477,0.000702477,0.000702477,3390
Energy Vehicle VAR GG [GJ],0.004818185,0.004818185,0.004818185,0.004818185,0.004818185,0.004818185,0.004818185,0.004818185,0.004818185,0.004818185,0.004818185,0.004818185,0.004818185,0.004818185,0.004818185,0.004818185,0.004818185,0.004818185,0.004818185,0.004818185,0.004818185,0.004818185,0.004818185,0.004818185,0.004818185,0.004818185,0.004818185,0.004818185,0.004818185,0.004818185,0.004818185,0.004818185,0.004818185,0.004818185,0.004818185,0.004818185,0.004818185,0.004818185,0.004818185,0.004818185,0.004818185,0.004818185,3391
Energy Vehicle VAR TD [GJ],0.000336413,0.000336413,0.000336413,0.000336413,0.000336413,0.000336413,0.000336413,0.000336413,0.000336413,0.000336413,0.000336413,0.000336413,0.000336413,0.000336413,0.000336413,0.000336413,0.000336413,0.000336413,0.000336413,0.000336413,0.000336413,0.000336413,0.000336413,0.000336413,0.000336413,0.000336413,0.000336413,0.000336413,0.000336413,0.000336413,0.000336413,0.000336413,0.000336413,0.000336413,0.000336413,0.000336413,0.000336413,0.000336413,0.000336413,0.000336413,0.000336413,0.000336413,3392
Energy Vehicle VAR 3D [GJ],0.00076943,0.00076943,0.00076943,0.00076943,0.00076943,0.00076943,0.00076943,0.00076943,0.00076943,0.00076943,0.00076943,0.00076943,0.00076943,0.00076943,0.00076943,0.00076943,0.00076943,0.00076943,0.00076943,0.00076943,0.00076943,0.00076943,0.00076943,0.00076943,0.00076943,0.00076943,0.00076943,0.00076943,0.00076943,0.00076943,0.00076943,0.00076943,0.00076943,0.00076943,0.00076943,0.00076943,0.00076943,0.00076943,0.00076943,0.00076943,0.00076943,0.00076943,3393
Energy Vehicle VAR MA [GJ],0.000519468,0.000519468,0.000519468,0.000519468,0.000519468,0.000519468,0.000519468,0.000519468,0.000519468,0.000519468,0.000519468,0.000519468,0.000519468,0.000519468,0.000519468,0.000519468,0.000519468,0.000519468,0.000519468,0.000519468,0.000519468,0.000519468,0.000519468,0.000519468,0.000519468,0.000519468,0.000519468,0.000519468,0.000519468,0.000519468,0.000519468,0.000519468,0.000519468,0.000519468,0.000519468,0.000519468,0.000519468,0.000519468,0.000519468,0.000519468,0.000519468,0.000519468,3394
Energy Vehicle VAR BA [GJ],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3395
Energy Vehicle VAR SM [GJ],0.000351201,0.000351201,0.000351201,0.000351201,0.000351201,0.000351201,0.000351201,0.000351201,0.000351201,0.000351201,0.000351201,0.000351201,0.000351201,0.000351201,0.000351201,0.000351201,0.000351201,0.000351201,0.000351201,0.000351201,0.000351201,0.000351201,0.000351201,0.000351201,0.000351201,0.000351201,0.000351201,0.000351201,0.000351201,0.000351201,0.000351201,0.000351201,0.000351201,0.000351201,0.000351201,0.000351201,0.000351201,0.000351201,0.000351201,0.000351201,0.000351201,0.000351201,3396
Energy Vehicle VAR SO [GJ],0.000752448,0.000752448,0.000752448,0.000752448,0.000752448,0.000752448,0.000752448,0.000752448,0.000752448,0.000752448,0.000752448,0.000752448,0.000752448,0.000752448,0.000752448,0.000752448,0.000752448,0.000752448,0.000752448,0.000752448,0.000752448,0.000752448,0.000752448,0.000752448,0.000752448,0.000752448,0.000752448,0.000752448,0.000752448,0.000752448,0.000752448,0.000752448,0.000752448,0.000752448,0.000752448,0.000752448,0.000752448,0.000752448,0.000752448,0.000752448,0.000752448,0.000752448,3397
Energy Vehicle VAR SR [GJ],5.72E-05,5.72E-05,5.72E-05,5.72E-05,5.72E-05,5.72E-05,5.72E-05,5.72E-05,5.72E-05,5.72E-05,5.72E-05,5.72E-05,5.72E-05,5.72E-05,5.72E-05,5.72E-05,5.72E-05,5.72E-05,5.72E-05,5.72E-05,5.72E-05,5.72E-05,5.72E-05,5.72E-05,5.72E-05,5.72E-05,5.72E-05,5.72E-05,5.72E-05,5.72E-05,5.72E-05,5.72E-05,5.72E-05,5.72E-05,5.72E-05,5.72E-05,5.72E-05,5.72E-05,5.72E-05,5.72E-05,5.72E-05,5.72E-05,3398
Energy Vehicle VAR WH [GJ],0.000477578,0.000477578,0.000477578,0.000477578,0.000477578,0.000477578,0.000477578,0.000477578,0.000477578,0.000477578,0.000477578,0.000477578,0.000477578,0.000477578,0.000477578,0.000477578,0.000477578,0.000477578,0.000477578,0.000477578,0.000477578,0.000477578,0.000477578,0.000477578,0.000477578,0.000477578,0.000477578,0.000477578,0.000477578,0.000477578,0.000477578,0.000477578,0.000477578,0.000477578,0.000477578,0.000477578,0.000477578,0.000477578,0.000477578,0.000477578,0.000477578,0.000477578,3399
Energy Vehicle VAR we [GJ],0.005371446,0.005371446,0.005371446,0.005371446,0.005371446,0.005371446,0.005371446,0.005371446,0.005371446,0.005371446,0.005371446,0.005371446,0.005371446,0.005371446,0.005371446,0.005371446,0.005371446,0.005371446,0.005371446,0.005371446,0.005371446,0.005371446,0.005371446,0.005371446,0.005371446,0.005371446,0.005371446,0.005371446,0.005371446,0.005371446,0.005371446,0.005371446,0.005371446,0.005371446,0.005371446,0.005371446,0.005371446,0.005371446,0.005371446,0.005371446,0.005371446,0.005371446,3400
Energy Vehicle VAR VN [GJ],0.002643993,0.002643993,0.002643993,0.002643993,0.002643993,0.002643993,0.002643993,0.002643993,0.002643993,0.002643993,0.002643993,0.002643993,0.002643993,0.002643993,0.002643993,0.002643993,0.002643993,0.002643993,0.002643993,0.002643993,0.002643993,0.002643993,0.002643993,0.002643993,0.002643993,0.002643993,0.002643993,0.002643993,0.002643993,0.002643993,0.002643993,0.002643993,0.002643993,0.002643993,0.002643993,0.002643993,0.002643993,0.002643993,0.002643993,0.002643993,0.002643993,0.002643993,3401
Energy Vehicle VAR un [GJ],0.000125269,0.000125269,0.000125269,0.000125269,0.000125269,0.000125269,0.000125269,0.000125269,0.000125269,0.000125269,0.000125269,0.000125269,0.000125269,0.000125269,0.000125269,0.000125269,0.000125269,0.000125269,0.000125269,0.000125269,0.000125269,0.000125269,0.000125269,0.000125269,0.000125269,0.000125269,0.000125269,0.000125269,0.000125269,0.000125269,0.000125269,0.000125269,0.000125269,0.000125269,0.000125269,0.000125269,0.000125269,0.000125269,0.000125269,0.000125269,0.000125269,0.000125269,3402
Energy Vehicle VAR EM [GJ],0.000398431,0.000398431,0.000398431,0.000398431,0.000398431,0.000398431,0.000398431,0.000398431,0.000398431,0.000398431,0.000398431,0.000398431,0.000398431,0.000398431,0.000398431,0.000398431,0.000398431,0.000398431,0.000398431,0.000398431,0.000398431,0.000398431,0.000398431,0.000398431,0.000398431,0.000398431,0.000398431,0.000398431,0.000398431,0.000398431,0.000398431,0.000398431,0.000398431,0.000398431,0.000398431,0.000398431,0.000398431,0.000398431,0.000398431,0.000398431,0.000398431,0.000398431,3403
Energy Vehicle VAR VC [GJ],0.000614531,0.000614531,0.000614531,0.000614531,0.000614531,0.000614531,0.000614531,0.000614531,0.000614531,0.000614531,0.000614531,0.000614531,0.000614531,0.000614531,0.000614531,0.000614531,0.000614531,0.000614531,0.000614531,0.000614531,0.000614531,0.000614531,0.000614531,0.000614531,0.000614531,0.000614531,0.000614531,0.000614531,0.000614531,0.000614531,0.000614531,0.000614531,0.000614531,0.000614531,0.000614531,0.000614531,0.000614531,0.000614531,0.000614531,0.000614531,0.000614531,0.000614531,3404
Energy Vehicle VAR pe [GJ],7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,7.06E-05,3405
Energy Vehicle VAR CM [GJ],0.001330153,0.001330153,0.001330153,0.001330153,0.001330153,0.001330153,0.001330153,0.001330153,0.001330153,0.001330153,0.001330153,0.001330153,0.001330153,0.001330153,0.001330153,0.001330153,0.001330153,0.001330153,0.001330153,0.001330153,0.001330153,0.001330153,0.001330153,0.001330153,0.001330153,0.001330153,0.001330153,0.001330153,0.001330153,0.001330153,0.001330153,0.001330153,0.001330153,0.001330153,0.001330153,0.001330153,0.001330153,0.001330153,0.001330153,0.001330153,0.001330153,0.001330153,3406
Energy Vehicle VAR DE [GJ],0.001996296,0.001996296,0.001996296,0.001996296,0.001996296,0.001996296,0.001996296,0.001996296,0.001996296,0.001996296,0.001996296,0.001996296,0.001996296,0.001996296,0.001996296,0.001996296,0.001996296,0.001996296,0.001996296,0.001996296,0.001996296,0.001996296,0.001996296,0.001996296,0.001996296,0.001996296,0.001996296,0.001996296,0.001996296,0.001996296,0.001996296,0.001996296,0.001996296,0.001996296,0.001996296,0.001996296,0.001996296,0.001996296,0.001996296,0.001996296,0.001996296,0.001996296,3407
Energy Vehicle VAR ca [GJ],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3408
Energy Vehicle VAR ri [GJ],0.000200678,0.000204714,0.000209186,0.00021315,0.000217974,0.000267778,0.000442146,0.000212267,0.00021535,0.000264242,0.000456206,0.000199525,0.000209249,0.00020844,0.000203202,0.000224021,0.000341279,0.000216879,0.000217903,0.00021645,0.000220868,0.00022406,0.000294719,0.000247936,0.000248004,0.000244646,0.000243294,0.000248316,0.000288054,0.000281218,0.000287856,0.00028448,0.000279573,0.000288184,0.000315807,0.000288526,0.000283643,0.000305423,0.000297099,0.000295639,0.000315126,0.000381209,3409
Energy Vehicle VAR AM [GJ],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3410
Energy Vehicle VAR CE [GJ],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3411
Energy Vehicle VAR AY [GJ],0.000140147,0.000140147,0.000140147,0.000140147,0.000140147,0.000140147,0.000140147,0.000140147,0.000140147,0.000140147,0.000140147,0.000140147,0.000140147,0.000140147,0.000140147,0.000140147,0.000140147,0.000140147,0.000140147,0.000140147,0.000140147,0.000140147,0.000140147,0.000140147,0.000140147,0.000140147,0.000140147,0.000140147,0.000140147,0.000140147,0.000140147,0.000140147,0.000140147,0.000140147,0.000140147,0.000140147,0.000140147,0.000140147,0.000140147,0.000140147,0.000140147,0.000140147,3412
Energy Vehicle VAR SB [GJ],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3413
Energy Vehicle VAR HF [GJ],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3414
Energy Vehicle VAR Biodiesel [GJ],0.000773421,0.000773421,0.000773421,0.000773421,0.000773421,0.000773421,0.000773421,0.000773421,0.000773421,0.000773421,0.000773421,0.000773421,0.000773421,0.000773421,0.000773421,0.000773421,0.000773421,0.000773421,0.000773421,0.000773421,0.000773421,0.000773421,0.000773421,0.000773421,0.000773421,0.000773421,0.000773421,0.000773421,0.000773421,0.000773421,0.000773421,0.000773421,0.000773421,0.000773421,0.000773421,0.000773421,0.000773421,0.000773421,0.000773421,0.000773421,0.000773421,0.000773421,3415
Energy Vehicle VAR Diesel [GJ],0.000691072,0.000691265,0.000690033,0.000691372,0.000694538,0.000696701,0.000699963,0.000693834,0.000694362,0.000696361,0.00070181,0.000693486,0.000695498,0.000699269,0.000699245,0.000703962,0.000710619,0.000697955,0.000698444,0.000700121,0.000703836,0.00071093,0.000719262,0.000701759,0.000701942,0.00070522,0.000706796,0.000714793,0.000728975,0.000704513,0.000704454,0.000707842,0.000708878,0.000718136,0.000734866,0.000704008,0.000702166,0.000701598,0.000705313,0.000705866,0.000714778,0.000724804,3416
Energy Vehicle VAR Gasoline [GJ],0.000300544,0.00030253,0.000303322,0.000301172,0.000303019,0.000303637,0.000320499,0.000304608,0.000302807,0.000305139,0.000326535,0.000299871,0.000304733,0.000307348,0.000302458,0.000301998,0.000319938,0.000303096,0.000306239,0.000305538,0.000307733,0.000304632,0.000315294,0.000306465,0.000306995,0.000307414,0.000306724,0.000309293,0.000315436,0.000309093,0.000308571,0.000308973,0.000307585,0.000314195,0.000322999,0.000310876,0.000309451,0.000310017,0.000310973,0.000310821,0.000319931,0.00033159,3417
Energy Vehicle VAR Electricity [GJ],6.36E-06,6.92E-06,5.83E-06,6.02E-06,6.19E-06,6.27E-06,6.87E-06,5.17E-06,6.17E-06,6.14E-06,5.8E-06,6.04E-06,5.75E-06,5.91E-06,7.09E-06,6.79E-06,6.21E-06,6.11E-06,6.4E-06,5.81E-06,6.39E-06,6.09E-06,6.79E-06,6.36E-06,5.93E-06,6.02E-06,6.32E-06,6.9E-06,7.32E-06,5.47E-06,5.82E-06,6.76E-06,6.48E-06,6.71E-06,6.53E-06,5.71E-06,6.28E-06,5.76E-06,6.15E-06,7.16E-06,6.66E-06,6.76E-06,3418
Energy Vehicle VAR Food [GJ],4.61E-09,4.57E-09,4.6E-09,4.52E-09,4.5E-09,4.39E-09,4.37E-09,4.52E-09,4.5E-09,4.44E-09,4.37E-09,4.64E-09,4.67E-09,4.58E-09,4.53E-09,4.46E-09,4.42E-09,4.67E-09,4.7E-09,4.65E-09,4.63E-09,4.59E-09,4.45E-09,4.76E-09,4.75E-09,4.7E-09,4.7E-09,4.63E-09,4.48E-09,4.87E-09,4.83E-09,4.76E-09,4.75E-09,4.65E-09,4.53E-09,4.8E-09,4.76E-09,4.75E-09,4.69E-09,4.7E-09,4.6E-09,4.49E-09,3419
Energy VehicleSTD [GJ],0.016202096,0.016236706,0.016244193,0.016235063,0.016285956,0.016340547,0.016694039,0.016305961,0.01628278,0.016366366,0.016805987,0.016168189,0.01625942,0.01633619,0.016265574,0.016322571,0.016742284,0.01621118,0.016261824,0.016282226,0.0163414,0.016375291,0.016698985,0.016240723,0.016243002,0.016286561,0.016297165,0.016441707,0.01673432,0.016255762,0.016242471,0.016288285,0.016283508,0.016502296,0.016884577,0.016305103,0.016277019,0.016294256,0.01634289,0.016353777,0.016602096,0.016978911,3420
Energy Vehicle STD Walk [GJ],6.83E-05,6.8E-05,6.83E-05,6.77E-05,6.75E-05,6.67E-05,6.66E-05,6.77E-05,6.75E-05,6.71E-05,6.65E-05,6.86E-05,6.88E-05,6.81E-05,6.78E-05,6.72E-05,6.69E-05,6.88E-05,6.9E-05,6.86E-05,6.85E-05,6.82E-05,6.72E-05,6.94E-05,6.93E-05,6.89E-05,6.89E-05,6.84E-05,6.74E-05,7.02E-05,6.99E-05,6.94E-05,6.93E-05,6.86E-05,6.77E-05,6.97E-05,6.94E-05,6.93E-05,6.89E-05,6.89E-05,6.82E-05,6.75E-05,3421
Energy Vehicle STD Bike [GJ],3.3E-05,3.4E-05,3.32E-05,3.27E-05,3.31E-05,3.12E-05,2.95E-05,3.27E-05,3.21E-05,3.07E-05,2.94E-05,3.52E-05,3.58E-05,3.53E-05,3.61E-05,3.33E-05,3.02E-05,3.82E-05,3.78E-05,3.84E-05,3.81E-05,3.58E-05,3.19E-05,4.07E-05,4.15E-05,4.12E-05,4.17E-05,4.01E-05,3.53E-05,4.39E-05,4.43E-05,4.47E-05,4.49E-05,4.34E-05,3.79E-05,4.19E-05,4.03E-05,4.1E-05,4.13E-05,4.12E-05,4.03E-05,3.52E-05,3422
Energy Vehicle STD Car [GJ],0.017778964,0.017854557,0.017857407,0.017822393,0.017901759,0.017895758,0.018006029,0.017930777,0.017886095,0.017948772,0.018155137,0.017755991,0.017882046,0.018015064,0.017890522,0.017960499,0.018246493,0.017842599,0.017928837,0.017937806,0.01803046,0.01806902,0.018290965,0.017931706,0.017918639,0.017968136,0.017972678,0.018149272,0.018359347,0.017970365,0.017956289,0.017997897,0.017957675,0.018205301,0.018469969,0.0180336,0.01801863,0.017995635,0.018062751,0.018053169,0.018327229,0.018442205,3423
Energy Vehicle STD Car Emergency [GJ],0.013217459,0.013330441,0.013264843,0.013195768,0.013402502,0.013295487,0.013285073,0.013422438,0.013314487,0.013286014,0.013425548,0.013147827,0.013341359,0.013363273,0.013381542,0.013372483,0.013522491,0.013275261,0.013307377,0.013279319,0.013412835,0.013426257,0.013445046,0.013151577,0.013292638,0.013371263,0.013314788,0.013395198,0.013486718,0.013146643,0.013116809,0.013249248,0.013166701,0.013369008,0.013388361,0.01331896,0.013180092,0.013281842,0.01339372,0.013307978,0.013510208,0.01353033,3424
Energy Vehicle STD Car HOV2 Emergency [GJ],0.012926457,0.013037023,0.01295767,0.01287155,0.013128192,0.012920223,0.012944498,0.012987951,0.013037221,0.013049417,0.01286281,0.012876101,0.013076308,0.013176905,0.013125611,0.012852338,0.012943014,0.012997472,0.012945443,0.013093599,0.013084806,0.012936596,0.013043095,0.013094718,0.012914475,0.012989702,0.01305557,0.013072619,0.012898571,0.012836581,0.01275697,0.012745274,0.012804559,0.012927629,0.012912985,0.013120951,0.012938082,0.012914281,0.012989558,0.012764337,0.012858577,0.012896938,3425
Energy Vehicle STD Car HOV3 Emergency [GJ],0.012979902,0.01288338,0.012798151,0.012953539,0.012947157,0.012950936,0.012941088,0.01325813,0.012990223,0.012782763,0.012919425,0.013086145,0.012989589,0.013399112,0.013154197,0.012799909,0.012800635,0.012864079,0.013022669,0.013121997,0.013277013,0.012958812,0.01287095,0.01282673,0.012794934,0.012970487,0.012897668,0.01278562,0.012878192,0.012703695,0.012913696,0.012719312,0.01271805,0.012821633,0.012859708,0.012946237,0.012776343,0.012995076,0.013028161,0.012942483,0.012936848,0.012633699,3426
Energy Vehicle STD Ride Hail [GJ],0.01810615,0.01828729,0.018550366,0.018359282,0.018301421,0.018686119,0.019203766,0.018382279,0.018226907,0.018401316,0.019550478,0.018015485,0.018523476,0.018281568,0.017921799,0.017933887,0.018655074,0.018822187,0.018882154,0.018663927,0.018839824,0.01842454,0.018716017,0.020163733,0.020216779,0.019964658,0.019840146,0.019724678,0.019972659,0.021505078,0.021839605,0.021569844,0.021314654,0.021409572,0.021572658,0.020880903,0.020769855,0.021594105,0.021176102,0.021035765,0.021314212,0.021405895,3427
Energy Vehicle STD Empty Ride Hail [GJ],0.004900005,0.004641461,0.005325488,0.006507563,0.007423897,0.012274065,0.022348345,0.005828965,0.006792774,0.012370094,0.022723885,0.004342903,0.004656263,0.005107729,0.005431469,0.008449667,0.017642187,0.004148795,0.004471493,0.004706617,0.004795847,0.00646503,0.013971833,0.003990276,0.004270427,0.004257522,0.00435848,0.005139412,0.010138416,0.004012124,0.004104951,0.004251378,0.004264756,0.00467577,0.008189497,0.004180663,0.004272527,0.00456067,0.004895634,0.005066855,0.006569541,0.014962277,3428
Energy Vehicle STD Ride Hail WC [GJ],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3429
Energy Vehicle STD Empty Ride Hail WC [GJ],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3430
Energy Vehicle STD CAV [GJ],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3431
Energy Vehicle STD Car HOV2 [GJ],0.015995433,0.01599526,0.016016602,0.016042749,0.01599713,0.015968895,0.015937106,0.01610676,0.016014929,0.015991055,0.016110062,0.016002702,0.016151889,0.016193353,0.016056764,0.015981952,0.01610585,0.016026565,0.016124689,0.016189463,0.016242904,0.016083578,0.016132053,0.016042338,0.016183084,0.016110792,0.016131104,0.01615826,0.016166942,0.016101506,0.016129461,0.016019451,0.016034373,0.01616863,0.016236284,0.016131198,0.015983215,0.016091043,0.016051404,0.016051264,0.016182519,0.016066923,3432
Energy Vehicle STD Car HOV3 [GJ],0.015141617,0.015063252,0.015172245,0.015079106,0.015134307,0.015053387,0.015142409,0.015223645,0.015289381,0.01511377,0.015236266,0.015087489,0.015277184,0.015343494,0.015275675,0.015151022,0.015297608,0.015196128,0.015243939,0.01529542,0.015265586,0.015150013,0.015259042,0.015151732,0.015233873,0.015329143,0.015246951,0.015279062,0.015215484,0.015246055,0.015093547,0.015126384,0.015131534,0.015178356,0.015302924,0.015200014,0.015079301,0.015224364,0.015017575,0.015151967,0.015262498,0.015161354,3433
Energy Vehicle STD Bus [GJ],0.019093741,0.018792628,0.019104116,0.019148892,0.01918552,0.019279885,0.018977116,0.019064654,0.019251221,0.019021152,0.018882462,0.019257461,0.019027241,0.018835163,0.019132591,0.019199823,0.019069161,0.01942837,0.019007814,0.019306358,0.019122954,0.019226901,0.019161039,0.019289431,0.019538333,0.019597725,0.019332582,0.019161076,0.019167744,0.019448296,0.019874903,0.019617162,0.019368072,0.019445948,0.019349265,0.019628055,0.019967213,0.019839505,0.019732282,0.019699498,0.019552037,0.019426223,3434
Energy Vehicle STD Tram [GJ],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3435
Energy Vehicle STD Rail [GJ],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3436
Energy Vehicle STD Subway [GJ],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3437
Energy Vehicle STD Cable Car [GJ],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3438
Energy Vehicle STD Ferry [GJ],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3439
Energy Vehicle STD Empty Bus [GJ],0.046342867,0.046586378,0.046342404,0.046230922,0.046207993,0.046012924,0.046103181,0.046347854,0.046159418,0.046224317,0.046174524,0.046527694,0.046705873,0.046800882,0.046596011,0.046375816,0.046286721,0.046663148,0.046957667,0.046724817,0.046866362,0.046652169,0.046378375,0.046979836,0.046801259,0.04668562,0.046902665,0.046943933,0.046620444,0.047067642,0.046668366,0.046881468,0.047073213,0.046906541,0.046571558,0.046858589,0.046598039,0.046627715,0.04672372,0.046777864,0.046870628,0.046677955,3440
Energy Vehicle STD Empty Tram [GJ],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3441
Energy Vehicle STD Empty Rail [GJ],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3442
Energy Vehicle STD Empty Subway [GJ],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3443
Energy Vehicle STD Empty Cable Car [GJ],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3444
Energy Vehicle STD Empty Ferry [GJ],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3445
Energy Vehicle STD SF [GJ],0.00951985,0.00951985,0.00951985,0.00951985,0.00951985,0.00951985,0.00951985,0.00951985,0.00951985,0.00951985,0.00951985,0.00951985,0.00951985,0.00951985,0.00951985,0.00951985,0.00951985,0.00951985,0.00951985,0.00951985,0.00951985,0.00951985,0.00951985,0.00951985,0.00951985,0.00951985,0.00951985,0.00951985,0.00951985,0.00951985,0.00951985,0.00951985,0.00951985,0.00951985,0.00951985,0.00951985,0.00951985,0.00951985,0.00951985,0.00951985,0.00951985,0.00951985,3446
Energy Vehicle STD AC [GJ],0.016479751,0.016479751,0.016479751,0.016479751,0.016479751,0.016479751,0.016479751,0.016479751,0.016479751,0.016479751,0.016479751,0.016479751,0.016479751,0.016479751,0.016479751,0.016479751,0.016479751,0.016479751,0.016479751,0.016479751,0.016479751,0.016479751,0.016479751,0.016479751,0.016479751,0.016479751,0.016479751,0.016479751,0.016479751,0.016479751,0.016479751,0.016479751,0.016479751,0.016479751,0.016479751,0.016479751,0.016479751,0.016479751,0.016479751,0.016479751,0.016479751,0.016479751,3447
