1. Record Type,2. Sample Number,3. Phone,4. Month,5. Day,6. Year,7. Day of Week,8. Advance Letter,9. Address,10. City,11. State,12. Zip Code,13. HH County,14. HH Study Area,15. HH Zone,16. Longitude,17. Latitude,18. Number Persons,19. Number Employed,20. Vehicles Available,21. Vehicles Owned / Leased ,22. Bikes,23. Residence,24. Other Residence,25. Tenure,26. Previous Residence,27. Previous Zip Code,28. HH Factors ,29. Other Factors,30. Income,31. Day Visitors,32. Overnight Visitors,33. Delivery Vehicle,34. Number of Delivery Drivers,35. HH Vehicle Use by Non HH Member,36. GPS House,37. Total HH Trips
1,10476,,10,18,2017,3,1,,Austin,Texas,78703,5,AU,,-97.772,30.282,2,1,2,2,2,1,,5,,,6,,24,0,0,,,2,1,13
1,10505,,10,18,2017,3,1,,Austin,Texas,78703,5,AU,,-97.752,30.278,2,2,1,1,2,1,,5,,,6,,23,1,0,,,2,1,10
1,10550,,10,23,2017,1,1,,AUSTIN,TX,78703,5,AU,,-97.760,30.284,1,1,1,1,1,2,,2,1,78731,1;3;6;8,,20,0,0,,,2,2,3
1,10558,,2,2,2018,5,1,,Austin,TX,78703,5,AU,,-97.784,30.291,3,3,4,4,2,3,,1,1,78703,3;6,,23,0,0,,,2,2,17
1,10677,,2,19,2018,1,1,,AUSTIN,TX,78703,5,AU,,-97.771,30.282,3,2,2,2,2,1,,2,1,78739,3;4,,25,0,0,,,1,2,13
1,10732,,10,18,2017,3,1,,Austin,Texas,78703,5,AU,,-97.770,30.285,1,1,1,1,0,1,,5,,,6,0,10,1,0,,,2,1,8
1,10758,,3,21,2018,3,1,,AUSTIN,TX,78704,5,AU,,-97.784,30.234,1,0,1,1,0,2,,5,,,1,,19,0,0,,,2,2,0
1,10770,,11,30,2017,4,1,,Austin,TX,78745,5,AU,,-97.772,30.198,1,1,1,1,0,4,,2,1,78741,1;3;8,,14,0,0,,,2,2,4
1,10775,,1,23,2018,2,1,,Austin,TX,78704,5,AU,,-97.774,30.261,2,2,1,1,1,3,,2,1,78704,1;96,0,24,1,0,,,2,2,8
1,10784,,12,6,2017,3,1,,Austin,TX,78737,5,AU,,-97.940,30.191,1,1,4,4,1,5,,1,2,999998,3,,3,0,0,,,2,2,5
1,10786,,10,17,2017,2,1,,Austin,Texas,78704,5,AU,,-97.762,30.254,1,1,1,1,1,4,,2,1,78704,6;8;96,0,22,0,0,,,2,2,6
1,10808,,12,12,2017,2,1,,Austin,TX,78736,5,AU,,-97.890,30.246,1,1,1,1,1,1,,5,,,1,,20,0,0,,,2,2,3
1,10864,,11,30,2017,4,1,,Austin,TX,78704,5,AU,,-97.742,30.250,3,2,3,3,5,1,,5,,,6;96,0,25,3,0,,,2,2,12
1,10875,,10,18,2017,3,1,,Austin,Texas,78704,5,AU,,-97.772,30.251,2,0,2,2,1,3,,3,2,99998,6,,21,0,0,,,2,1,11
1,10892,,12,12,2017,2,1,,Austin,TX,78704,5,AU,,-97.757,30.255,2,1,2,2,0,1,,5,,,1;6,,19,1,0,,,2,2,2
1,10922,,10,24,2017,2,1,,AUSTIN,TX,78704,5,AU,,-97.774,30.259,2,0,2,2,0,1,,5,,,1;3;4;6;96,0,10,0,0,,,2,2,5
1,10960,,11,30,2017,4,1,,Austin,TX,78704,5,AU,,-97.767,30.229,2,2,2,2,2,4,,2,1,78723,1;3;6,,22,0,0,,,2,2,4
1,10962,,1,9,2018,2,1,,Austin,TX,78704,5,AU,,-97.773,30.240,2,2,2,2,2,3,,3,1,78704,1;3;4;5;6;7,,20,0,0,,,2,2,12
1,10990,,11,27,2017,1,1,,Austin,TX,78704,5,AU,,-97.778,30.254,2,2,2,2,0,1,,5,,,1,,23,1,0,,,1,2,8
1,11058,,11,30,2017,4,1,,Austin,TX,78704,5,AU,,-97.785,30.242,1,1,1,1,0,4,,2,1,78749,6,,15,0,0,,,2,2,2
