GEOID,Unnamed: 0,driver,geometry,index_right,area
484910207034,14,14,14,14,14
484910207041,14,14,14,14,14
484910207042,9,9,9,9,9
484910207043,32,32,32,32,32
484910207061,13,13,13,13,13
484910207062,12,12,12,12,12
484910207071,21,21,21,21,21
484910207072,16,16,16,16,16
484910207081,17,17,17,17,17
484910207082,21,21,21,21,21
484910207083,6,6,6,6,6
484910208031,2,2,2,2,2
484910208032,2,2,2,2,2
484910208033,7,7,7,7,7
484910208041,4,4,4,4,4
484910208042,3,3,3,3,3
484910208043,4,4,4,4,4
484910208044,7,7,7,7,7
484910208045,8,8,8,8,8
484910208051,6,6,6,6,6
484910208052,7,7,7,7,7
484910208053,3,3,3,3,3
484910208061,4,4,4,4,4
484910208062,3,3,3,3,3
484910208071,1,1,1,1,1
484910208072,4,4,4,4,4
484910208073,7,7,7,7,7
484910208074,3,3,3,3,3
484910208082,1,1,1,1,1
484910208092,2,2,2,2,2
484910208093,8,8,8,8,8
484910209001,1,1,1,1,1
484910209002,1,1,1,1,1
484910209003,5,5,5,5,5
484910210001,1,1,1,1,1
484910210002,3,3,3,3,3
484910210003,4,4,4,4,4
484910211001,14,14,14,14,14
484910211002,5,5,5,5,5
484910212011,11,11,11,11,11
484910212012,6,6,6,6,6
484910212021,10,10,10,10,10
484910212022,7,7,7,7,7
484910212031,3,3,3,3,3
484910212032,12,12,12,12,12
484910212033,17,17,17,17,17
484910213001,1,1,1,1,1
484910213002,1,1,1,1,1
484910213003,1,1,1,1,1
484910213004,1,1,1,1,1
484910214011,12,12,12,12,12
484910214012,14,14,14,14,14
484910214013,4,4,4,4,4
484910214014,7,7,7,7,7
484910214021,10,10,10,10,10
484910214022,13,13,13,13,13
