taz,parkingType,chargingType,reservedFor,pricingModel,feeInCents,parkingZoneId,numStalls
4.8453E+12,Public,NoCharger,Any,FlatFee,0,176,35
4.8209E+12,Public,NoCharger,Any,FlatFee,0,177,35
4.8209E+12,Public,NoCharger,Any,FlatFee,0,178,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,179,35
4.8209E+12,Public,NoCharger,Any,FlatFee,0,180,35
4.8491E+12,Public,NoCharger,Any,FlatFee,0,181,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,182,35
4.8209E+12,Public,NoCharger,Any,FlatFee,0,183,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,184,35
4.8491E+12,Public,NoCharger,Any,FlatFee,0,185,35
4.8053E+12,Public,NoCharger,Any,FlatFee,0,186,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,187,35
4.8491E+12,Public,NoCharger,Any,FlatFee,0,188,35
4.8491E+12,Public,NoCharger,Any,FlatFee,0,189,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,190,35
4.8491E+12,Public,NoCharger,Any,FlatFee,0,191,35
4.8209E+12,Public,NoCharger,Any,FlatFee,0,192,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,193,35
4.8491E+12,Public,NoCharger,Any,FlatFee,0,194,35
4.8021E+12,Public,NoCharger,Any,FlatFee,0,195,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,196,35
4.8491E+12,Public,NoCharger,Any,FlatFee,0,197,35
4.8053E+12,Public,NoCharger,Any,FlatFee,0,198,35
4.8053E+12,Public,NoCharger,Any,FlatFee,0,199,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,200,35
4.8209E+12,Public,NoCharger,Any,FlatFee,0,201,35
4.8491E+12,Public,NoCharger,Any,FlatFee,0,202,35
4.8491E+12,Public,NoCharger,Any,FlatFee,0,203,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,204,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,205,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,206,35
4.8491E+12,Public,NoCharger,Any,FlatFee,0,207,35
4.8491E+12,Public,NoCharger,Any,FlatFee,0,208,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,209,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,210,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,211,35
4.8491E+12,Public,NoCharger,Any,FlatFee,0,212,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,213,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,214,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,215,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,216,35
